Provider Name,City,State/Territory,County,Region Name,Address 1,Address 2,Zip,Phone,Ext.,Fax,Current Provider Urbanicity
 MGC-Family Medicine Chesnee Highway,Gaffney,SC,CHEROKEE,Upstate,517 CHESNEE HWY,STE A,29341,864-487-7655,,864-487-8718,Micropolitan
" Premier Pediatrics of Sumter, LLC",Sumter,SC,SUMTER,Pee Dee ,380 W Wesmark Blvd Unit B,,29150,803-607-9430,,803-607-9431,Small metro
ABBEVILLE COUNTY HEALTH DEPARTMENT,Abbeville,SC,ABBEVILLE,Upstate,905 W GREENWOOD ST,,29620,864-366-2131,,864-366-4105,Micropolitan
ADOLESCENT MEDICINE,Greenville,SC,GREENVILLE,Upstate,1350 CLEVELAND STREEET,,29607,864-522-4888,,864-522-4885,Medium metro
Affinity Health Center Clover,Clover,SC,YORK,Midlands ,300 CLINTON AVE,,29710,(803)909-9748,,(803)909-6364,Large fringe metro
Affinity Health Center Main Office,Rock Hill,SC,YORK,Midlands ,500 Lakeshore PKWY,,29730,803-909-6363,9748,803-909-6364,Large fringe metro
Affinity Health Center York,York,SC,YORK,Midlands ,37 PINCKNEY ST,,29745,(803) 909-9748,,(803)909-6364,Large fringe metro
AIKEN CENTER FOR FAMILY HEALTH,Aiken,SC,AIKEN,Midlands ,415 Barnwell AVE NW,,29801,803-644-4403,,(803)644-4405,Medium metro
AIKEN COUNTY HEALTH DEPARTMENT,Aiken,SC,AIKEN,Midlands ,222 BEAUFORT ST NE,,29801,(803)642-1687,,(803)643-4018,Medium metro
Aiken Regional Medical Centers,Aiken,SC,AIKEN,Midlands ,302 University PKWY,,29801,803-641-5875,,803-641-5811,Medium metro
Aiken Specialty Services ,Aiken,SC,AIKEN,Midlands ,209 Abbeville Ave. NW,,29801,8033061433,,8036321209,Medium metro
All Children Pediatrics,Ridgeland,SC,JASPER,LowCountry,11382 N Jacob Smart BLVD,,29936,843-645-9797,,(843)645-9798,Small metro
ALL CHILDRENS PEDIATRICS,Beaufort,SC,BEAUFORT,LowCountry,960 Ribaut Rd. STE 1,,29902,843-522-3870,,,Small metro
ALLENDALE COUNTY HEALTH DEPARTMENT,Allendale,SC,ALLENDALE,LowCountry,571 MEMORIAL AVE N,,29810,803-584-3818,,(803)584-8107,Non-Core
ALLERGY & ASTHMA CONSULTANTS,MOUNT PLEASANT,SC,CHARLESTON,LowCountry,180 WINGO WAY,STE 102,29464-0000,8438812030,,,Medium metro
ALLERGY & ASTHMA CONSULTANTS,CHARLESTON,SC,CHARLESTON,LowCountry,2270 ASHLEY XING,STE 150,29414-0000,843-556-9588,,,Medium metro
ALLERGY & ASTHMA CONSULTANTS,SUMMERVILLE,SC,DORCHESTER,LowCountry,102 MORGAN PL,,29485,8438329588,,,Medium metro
AMERICARE HEALTH  PC,PAGELAND,SC,CHESTERFIELD,Pee Dee ,905 N PEARL ST,,29728-0000,843-672-3100,,843-672-3102,Non-Core
ANDERSON COUNTY HEALTH DEPARTMENT,Anderson,SC,ANDERSON,Upstate,220 MCGEE RD,,29625,864-260-5633,,,Medium metro
ANDREWS MEDICAL CENTER,Andrews,SC,GEORGETOWN,Pee Dee ,701 S MORGAN Ave,,29510,843-264-5253,,(843)264-5970,Micropolitan
ANGEL OAK FAMILY MEDICINE,Johns Island,SC,CHARLESTON,LowCountry,1816 BOHICKET RD.SUITE F,,29455,843-559-1938,,,Medium metro
ANMED FAMILY FAMILY MEDICAL CENTER,Anderson,SC,ANDERSON,Upstate,2000 E GREENVILLE ST,STE 3700,29621,8645121475,,,Medium metro
ANMED HEALTH ANDERSON PEDIATRICS,Anderson,SC,ANDERSON,Upstate,705 N FANT ST,,29621,864-512-7034,,,Medium metro
ANMED HEALTH PEDIATRIC ASSOCIATES,Anderson,SC,ANDERSON,Upstate,2000 E GREENVILLE ST,STE 3000,29621,864-224-1055,,,Medium metro
ANMED HEALTH W AND C HOSPITAL,Anderson,SC,ANDERSON,Upstate,2000 E GREENVILLE ST,,29621,8645124686,,,Medium metro
ANMED HEALTH-WILLIAMSTON FAMILY MED,Williamston,SC,ANDERSON,Upstate,16 ROBERTS BLVD,,29697,864-847-7323,,,Medium metro
ANMED HLTH CAROLINA KIDS,Clemson,SC,PICKENS,Upstate,885 Tiger BLVD BLDG A,,29631,864-888-3020,,864-888-8585,Medium metro
ANMED PEDIATRICS FANT ST,Anderson,SC,ANDERSON,Upstate,500 N FANT ST,,29621,8642257798,,,Medium metro
AnMedHealth Anderson Family Medicine,Anderson,SC,ANDERSON,Upstate,2000 E Greenville ST STE 2000,,29621,864-260-1590,,864-260-1596,Medium metro
APEX CARE,Lugoff,SC,KERSHAW,Midlands ,116 Standard Warehouse Rd,,29078,803-408-0225,,803-408-0729,Medium metro
ATRIUM HEALTH LEVINE CHILDRENS - BAXTER,Fort Mill,SC,YORK,Midlands ,1154 CAROLINA PLACE DR,103,29708,704-667-0580,,704-667-0581,Large fringe metro
Aynor Family Medicine,Aynor,SC,HORRY,Pee Dee ,1213 ELM ST,,29511,843-234-7461,,843-358-9205,No Urbanicity Data
B  L FAMILY PRACTICE,Leesville,SC,LEXINGTON,Midlands ,608 E C0LUMBIA AVE,,29070,803-532-8155,,803.532.9685,Medium metro
Bailey Pediatrics,Mauldin,SC,GREENVILLE,,513 W Butler RD STE A,,29662,,,,Medium metro
BAILEY PEDIATRICS,MAULDIN,SC,GREENVILLE,Upstate,213 E BUTLER RD,,29662,864-434-2497,,864-458-3505,Medium metro
BALLENTINE PEDIATRICS  LLC,Irmo,SC,RICHLAND,Midlands ,11134 BROAD RIVER RD.,Ste D,29063,803-732-0920,,(803)227-2759,Medium metro
BAMBERG COUNTY HEALTH DEPARTMENT,Bamberg,SC,BAMBERG,LowCountry,370 LOG BRANCH RD,,29003,803-245-5176,,,Non-Core
BAPTIST EASLEY HOSPITAL,Easley,SC,PICKENS,Upstate,200 FLEETWOOD DR,,29640,864-442-8701,,864-442-7272,Medium metro
BAPTIST-EASLEY FAMILY PRACTICE,EASLEY,SC,PICKENS,Upstate,106 JOHN ST,,29640-0000,8648592220,,,Medium metro
BARNET PARK FAMILY MEDICINE,SPARTANBURG,SC,SPARTANBURG,Upstate,169 HALL ST,,29302,8645429966,,,Medium metro
BARNETT FAM PRACTICE CAROLINA LAKES,Indian Land,SC,LANCASTER,Midlands ,7666 CHARLOTTE HWY,STE 120,29707,803-431-8220,,803-431-8221,Large fringe metro
BARNWELL COUNTY HEALTH DEPARTMENT,Barnwell,SC,BARNWELL,Midlands ,11015 ELLENTON ST HWY 278,,29812,8035411061,,8035411066,Non-Core
BARNWELL FAMILY MEDICINE  PA,Barnwell,SC,BARNWELL,Midlands ,86 WREN ST,,29812,803-259-5762,,,Non-Core
BARNWELL PEDIATRICS,Barnwell,SC,BARNWELL,Midlands ,10706 MARLBORO AVE,,29812,803-259-7337,,,Non-Core
BEAUFORT COUNTY HEALTH DEPT B,Beaufort,SC,BEAUFORT,LowCountry,601 WILMINGTON ST,,29902,843-525-7615,,,Small metro
Beaufort Pediatrics P.A.,Beaufort,SC,BEAUFORT,LowCountry,964 RIBAUT RD,STE 1,29902,843-524-5437,,,Small metro
BEAUFORT-JASPER COMPRE HLH SERV.,Ridgeland,SC,JASPER,LowCountry,7190 OKATIE HWY 170,,29936,843-987-7400,,(843)987-5135,Small metro
BERKELEY FAMILY PRACTICE,Moncks Corner,SC,BERKELEY,LowCountry,2061 HWY 52,,29461,843-761-8800,,843-761-8824,Medium metro
Blue Ridge Pediatrics LLC,Seneca,SC,OCONEE,Upstate,457B By Pass 123,,29678,864-888-4464,,(864)888-4462,Micropolitan
BLUFFTON HEALTH DEPT.,Bluffton,SC,BEAUFORT,LowCountry,4819 BLUFFTON PKWY,,29910,843-757-2251,,,Small metro
BON SECOURS FAMILY MEDICAL CENTER,GREENVILLE,SC,GREENVILLE,Upstate,17 MEMORIAL MEDICAL DR,,29605,864-365-0225,,8643650235,Medium metro
BON SECOURS PELHAM ROAD MEDICAL PLAZA,Greenville,SC,GREENVILLE,Upstate,800 PELHAM RD,,29615,864-234-5800,,864-234-5886,Medium metro
Bon Secours Primary Care-Hwy 14,Greenville,SC,GREENVILLE,Upstate,3904 S HWY 14,,29615,864-987-9990,,888-372-4804,Medium metro
BON SECOURS ST FRANCIS HOSP PHARMACY,Charleston,SC,CHARLESTON,LowCountry,2095 HENRY TECKLENBURG DR,,29414,843-402-1417,,,Medium metro
Bradshaw Institute SBHC,Greenville,SC,GREENVILLE,Upstate,255 Enterprise Blvd Ste 110,,29615,864-454-2341,,864-454-1114,Medium metro
BROOKLAND COMMUNITY PEDIATRICS,West Columbia,SC,LEXINGTON,Midlands ,500 N 12TH ST,,29169,803-217-0415,,803-939-1650,Medium metro
BROOKLAND-CAYCE MEDICAL PRACTICE,Cayce,SC,LEXINGTON,Midlands ,1115 STATE ST,,29033,803-939-0174,,803-217-0282,Medium metro
BYRD MEDICAL ASSOCIATES LLC,Woodruff,SC,SPARTANBURG,Upstate,7280 C REIDVILLE RD,,29388,864-486-0760,,864-486-0761,Medium metro
CALHOUN COUNTY HEALTH DEPARTMENT,St. Matthews,SC,CALHOUN,LowCountry,2837 OLD BELLEVILLE RD,,29135,803-874-2037,,803-874-4693,Medium metro
Calhoun County Health Department (ALT),St. Matthews,SC,CALHOUN,LowCountry,101 Courthouse DR,,29135,803-874-2443,,803-874-2447,Medium metro
CALHOUN FALLS FAMILY PRACTICE CTR,Calhoun Falls,SC,ABBEVILLE,Upstate,535 JACKSON ST,,29628,864-418-8578,,,Micropolitan
CAMPBELL FAMILY PRACTICE  P.A.,Mullins,SC,MARION,Pee Dee ,2835 E HWY 76 STE 6,,29574,8434319882,,,Non-Core
CANNON FAMILY PRACTICE-LIBERTY,Liberty,SC,PICKENS,Upstate,105 LIBERTY BLVD,,29657,864-843-9213,,(864)843-5634,Medium metro
CARE SOUTH CAROLINA,Bishopville,SC,LEE,Pee Dee ,545 SUMTER HWY,,29010,803-484-5310,,803-484-4533,Non-Core
CARE SOUTH PEDIATRICS,Bennettsville,SC,MARLBORO,Pee Dee ,210 W MAIN ST,,29512,843-479-1200,,843-479-1230,Micropolitan
CARES clinic,Mount Pleasant,SC,CHARLESTON,LowCountry,1145 Six Mile RD,,29466,843-876-7097,,843-876-8529,Medium metro
CARESOUTH CAROLINA,Hartsville,SC,DARLINGTON,Pee Dee ,1268 S 4TH ST,Ste C,29550,843-339-3035,3452,843-383-0385,Small metro
CareSouth Carolina  Inc.,Society Hill,SC,DARLINGTON,Pee Dee ,737 S Main ST,,29593,843-378-4501,,843-378-4209,Small metro
CareSouth Carolina Inc-Latta Center,Latta,SC,DILLON,Pee Dee ,122 Latimer ST,,29565,(843)627-6252,,(843)627-6271,Non-Core
CareSouth Carolina McColl,McColl,SC,MARLBORO,Pee Dee ,225 S Main ST,PO Box 86,29570,843-523-5751,,843-523-6040,Micropolitan
CARESOUTH CAROLINA-(BENN),BENNETTSVILLE,SC,MARLBORO,Pee Dee ,999 CHERAW ST,,29512,843-479-2341,,843-479-2346,Micropolitan
CARESOUTH- CHERAW CTR,Cheraw,SC,CHESTERFIELD,Pee Dee ,"715 S Doctors DR STE s A, B, D,E",,29520,(843)537-0961,,(843)537-0908,Non-Core
CARESOUTH- DILLON,Dillon,SC,DILLON,Pee Dee ,207 E MONROE St,,29536,(843)774-4337,,(843)774-4373,Non-Core
"Careteam, Inc",Conway,SC,HORRY,Pee Dee ,100 Professional Park DR,,29526,843-234-0005,,843-234-8235,Medium metro
CARING HEARTS PEDIATRICS  LLC,Hartsville,SC,DARLINGTON,Pee Dee ,518 E CAROLINA AVE,STE B,29550,843-383-4426,,843-383-8509,Small metro
CAROLINA FAMILY MEDICINE,Clinton,SC,LAURENS,Upstate,600 PLAZA CIR,,29325,864-938-9690,,,Medium metro
Carolina Family Medicine of Sumter,Sumter,SC,SUMTER,Pee Dee ,"115 N Sumter Stree,t STE 400",,29150,803-774-7425,,803-774-9426,Small metro
CAROLINA FAMILY MEDICINE-CHERAW,CHERAW,SC,CHESTERFIELD,Pee Dee ,715 S DOCTORS DR,Ste A,29520,8439214704,,,Non-Core
CAROLINA FAMILY PHYSICIANS,Spartanburg,SC,SPARTANBURG,Upstate,1690 SKYLYN DR,Ste 210,29307,8642538170,,(864)585-7787,Medium metro
Carolina Family Practice,Columbia,SC,RICHLAND,Midlands ,1410 Blanding St,STE 102,29201,803-256-2500,,,Medium metro
Carolina Family Services ,Greenville,SC,GREENVILLE,Upstate,17 Memorial Medical Dr,,29605,8642830637,,8642830637,Medium metro
CAROLINA FOREST FAMILY MEDICINE,MYRTLE BEACH,SC,HORRY,Pee Dee ,4022 POSTAL WAY,,29579,8432369925,,,Medium metro
Carolina Health  Wellness SRVCS,Johns Island,SC,CHARLESTON,LowCountry,2754 Maybank Hwy Unit B,,29455,843-996-4908,,843-962-5450,Medium metro
CAROLINA HEALTH CENTERS-BETHANY CENTER,Greenwood,SC,GREENWOOD,Upstate,924 BYPASS 25 NE,,29649,(864)396-5269,,(864)396-5269,Micropolitan
CAROLINA PEDIATRIC ASSOCIATES,Blacksburg,SC,CHEROKEE,Upstate,301 W PINE ST,,29702,864-839-4325,,864-839-9901,Micropolitan
Carolina Pediatric Associates-Gaffney,Gaffney,SC,CHEROKEE,Upstate,140 4th AVE,,29340,864-487-7337,,864-839-9901,Micropolitan
Carolina Pediatrics  P.A,Columbia,SC,RICHLAND,Midlands ,2113 Adams Grove RD STE 101,,29203,803-256-0531,,803-765-9052,Medium metro
CAROLINA PEDIATRICS & CAROLINA TEEN CTR,RIDGEVILLE,SC,DORCHESTER,LowCountry,105 SCHOOL ST,,29472,,,,Medium metro
Carolina Pediatrics at Rock Hill ,Rock Hill,SC,YORK,Midlands ,225 Herlong Ave S,Unit 201,29732,727-656-4704,,803-327-9998,Large fringe metro
CAROLINA PEDIATRICS OF GREENVILLE,Greenville,SC,GREENVILLE,Upstate,200 PATEWOOD DR,STE A120,29615,864-454-2670,,864-454-2679,Medium metro
CAROLINA PEDS PA IRMO,Irmo,SC,RICHLAND,Midlands ,1033 Kinley Rd.,,29063,803-376-2838,,803-781-7977,Medium metro
CAROLINA PINES REGIONAL MEDICAL CEN,Hartsville,SC,DARLINGTON,Pee Dee ,1304 W BOBO NEWSOM HWY.,,29550,843-339-4770,,843-339-4771,Small metro
Carolina Womens Specialists,Sumter,SC,SUMTER,Pee Dee ,319 N Main ST,,29150,803-774-6448,,803-774-8305,Small metro
Carolinas Medical Alliance Kingstree Primary Care,Kingstree,SC,WILLIAMSBURG,Pee Dee ,342 W Main ST,,29556,(843)355-3621,,(843)355-3624,Non-Core
CATAWBA SERVICE UNIT- IHS,Rock Hill,SC,YORK,Midlands ,2893 STURGIS RD,,29730,8033669090,,803-366-9141,Large fringe metro
Cayce-West Columbia Primary Care Center,West Columbia,SC,LEXINGTON,Midlands ,407 N Brown ST,,29169,(803)995-8936,,(803)999-1210,Medium metro
CENTER FOR FAMILY MEDICINE,Spartanburg,SC,SPARTANBURG,Upstate,853 N CHURCH ST,STE 510,29303,864-560-6193,,(864)560-0504,Medium metro
CENTER FOR FAMILY MEDICINE,Greenville,SC,GREENVILLE,Upstate,877 W FARIS RD,STE A,29605,864-455-9040,,864-455-3988,Medium metro
Center for Family Medicine-Greer,Greer,SC,GREENVILLE,Upstate,"109 Physicians DR , STE A",,29650,(864)797-9150,,(864)797-9155,Medium metro
Center for Family Medicine-Oconee,Seneca,SC,OCONEE,Upstate,139 Lila Doyle Dr,,29672,(864)482-3483,,(864)482-3449,Micropolitan
CENTER FOR PED MED- CHILDRENS HOSP,Greenville,SC,GREENVILLE,Upstate,20 MEDICAL RIDGE DR,,29605,864-220-7270,,864-220-7290,Medium metro
Center for Pediatric Medicine- West,Greenville,SC,GREENVILLE,Upstate,5 W Main ST,,29611,864-522-5300,,(864)220-7290,Medium metro
Center for Pediatrics,Spartanburg,SC,SPARTANBURG,Upstate,853 N CHURCH St,STE 401,29303,864-560-6287,,864-560-7091,Medium metro
Chapin Pediatrics  P.A.,Chapin,SC,LEXINGTON,Midlands ,723 Chapin Rd,,29036,8039322200,,,Medium metro
CHARLES TOWNE PEDIATRICS,CHARLESTON,SC,CHARLESTON,LowCountry,418 FOLLY RD,Ste A,29412-0000,843-747-4647,,843-745-0969,Medium metro
Charles Towne Pediatrics,North Charleston,SC,CHARLESTON,LowCountry,3800 Faber Place DR,,29405,843-747-4647,,843-745-0969,Medium metro
Charleston County Health Department,North Charleston,SC,CHARLESTON,LowCountry,3685 Rivers Ave,,29405,843-953-4300,,,Medium metro
CHARLESTON COUNTY HEALTH DEPT,CHARLESTON,SC,CHARLESTON,LowCountry,3 CHARLESTON CENTER DR,,29401,843-579-4500,,,Medium metro
CHARLESTON COUNTY HLTH DEPT.-CENTRA,Charleston,SC,CHARLESTON,LowCountry,4050 BRIDGE VIEW DR,STE 600,29405,843-214-0682,,843-953-0081,Medium metro
Charleston County School District,North Charleston,SC,CHARLESTON,LowCountry,3180 THOMASINA MCPHERSON,,29405,843-754-9179,,843-745-2182,Medium metro
Charleston Medical Associates,Charleston,SC,CHARLESTON,LowCountry,"1483 Tobias Gadson Blvd, STE 101",,29407,843-405-1110,,844-671-4124,Medium metro
Charleston Pediatrics,Charleston,SC,CHARLESTON,LowCountry,198 Rutledge Ave STE 1,,29403,8437230855,,,Medium metro
Cheraw Pediatrics,Cheraw,SC,CHESTERFIELD,Pee Dee ,119 CHESTERFIELD HWY,,29520,843-537-1811,,843-537-1802,Non-Core
CHEROKEE CHILDRENS CLINIC  PA,Gaffney,SC,CHEROKEE,Upstate,1307 N LOGAN ST,,29341,864-488-1333,,864-488-3004,Micropolitan
CHEROKEE COUNTY HEALTH DEPARTMENT,Gaffney,SC,CHEROKEE,Upstate,400 S LOGAN ST,,29341,864-487-2705,,8644872728,Micropolitan
CHEROKEE PEDIATRIC ASSOCIATES,Gaffney,SC,CHEROKEE,Upstate,1610B N Limestone St,,29340,864-487-7337,,864-839-9901,Micropolitan
CHESNEE CENTER FOR FAMILY MEDICINE,Chesnee,SC,SPARTANBURG,Upstate,702 S ALABAMA AVE,,29323,864-560-9100,,864-560-5305,Medium metro
CHESTER COUNTY HEALTH DEPT C,Chester,SC,CHESTER,Midlands ,129 WYLIE ST,,29706,803-385-6152,,803-581-3815,Large fringe metro
CHESTERFIELD COUNTY HEALTH DEPT.,Chesterfield,SC,CHESTERFIELD,Pee Dee ,203 N PAGE ST,,29709,843-623-2117,,843-623-3066,Non-Core
CHILDREN FIRST MEDICAL CENTER,LANCASTER,SC,LANCASTER,Midlands ,901 W MEETING ST,Ste 205,29720,8032834200,,,Large fringe metro
CHILDREN'S CLINIC-SIMPSONVILLE,SIMPSONVILLE,SC,GREENVILLE,Upstate,727 SE MAIN ST,STE 100,29681,864-454-6520,,,Medium metro
CHILDRENS CLINIC,Greer,SC,GREENVILLE,Upstate,325 MEDICAL PKWY,STE 150,29650,864-797-9300,,864-797-9302,Medium metro
Childrens Clinic PA,Indian Land,SC,LANCASTER,Midlands ,8351 Charlotte Hwy.,,29707,(803)289-5437,,,Large fringe metro
Childrens Clinic- Travelers Rest,Greenville,SC,GREENVILLE,Upstate,415 Duncan Chapel RD,,29617,864-522-2600,,864-522-2605,Medium metro
Childrens Medical Center,Travelers Rest,SC,GREENVILLE,Upstate,6527 State Park RD,,29690,(864)610-2108,,(864)610-2900,Medium metro
childrens medical center,Greenville,SC,GREENVILLE,Upstate,703 Verdae Blvd,,29607,864-288-5402,,864-234-7961,Medium metro
CHILDRENS MEDICAL CENTER  POWDERSV,Piedmont,SC,ANDERSON,Upstate,3455 Hwy 153,,29673,8642958811,,,Medium metro
CHILDRENS MEDICAL CENTER-GREER,Greer,SC,GREENVILLE,Upstate,841 S Buncombe Rd,,29650,864-877-1220,,864-877-7731,Medium metro
CHILDRENS MEDICAL CTR-SIMPSONVILLE,Simpsonville,SC,GREENVILLE,Upstate,307 N MAIN ST,,29681,864-228-8010,,864-228-8050,Medium metro
CHRISTIE PEDIATRIC GROUP,Greenville,SC,GREENVILLE,Upstate,9 MILLS AVE,,29605,864-522-8450,,864-522-8455,Medium metro
CHRISTIE PEDIATRIC GROUP,Greenville,SC,GREENVILLE,Upstate,3911 S Highway 14,,29615,864-522-1340,,864-522-1345,Medium metro
CLARENDON COUNTY HEALTH DEPARTMENT,Manning,SC,CLARENDON,Pee Dee ,110 E BOYCE ST,,29102,803-435-8168,,803-435-6825,Non-Core
CLARENDON MEMORIAL HOSPITAL,Manning,SC,CLARENDON,Pee Dee ,10 E HOSPITAL ST,,29102,8034353151,,,Non-Core
Clemson Primary Care,Clemson,SC,PICKENS,Upstate,101 Chapman Hill Rd,,29631,(864)653-4071,,(864)653-4074,Medium metro
CLEMSON SENECA PEDIATRICS,Clemson,SC,PICKENS,Upstate,450 Old Greenville Hwy,,29631,864-653-8964,,864-654-0342,Medium metro
CLEMSON SENECA PEDIATRICS,Seneca,SC,OCONEE,Upstate,"109 Omni DR , STE B",,29678,864-888-4222,,864-888-0023,Micropolitan
CLIO MEDICAL CENTER,CLIO,SC,MARLBORO,Pee Dee ,200 N MAIN ST,,29525-0000,8435862292,,,Micropolitan
CMC CTR FAMLY MED PEACHVIEW,Gaffney,SC,CHEROKEE,Upstate,722 Hyatt St STEC,,29341,8644892400,,8644883987,Micropolitan
CMC Pediatrics,Conway,SC,HORRY,Pee Dee ,2376 Cypress CIR STE 103,,29527,(843)234-8788,,(843)234-8787,Medium metro
CMC Pediatrics - Socastee,Myrtle Beach,SC,HORRY,Pee Dee ,6010 HIGHWAY 707 STE 100,,29588,(843)293-1005,,(843)293-1006,Medium metro
CMC PRIMARY CARE MYRTLE TRACE,Conway,SC,HORRY,Pee Dee ,8004 Myrtle Trace Dr,,29526,843-234-8939,,843-234-8959,Medium metro
CMC Primary Care-Marion,Marion,SC,MARION,Pee Dee ,1211 N ST,,29571,843-765-2985,,,Non-Core
Coastal Carolina Medical Center,HARDEEVILLE,SC,JASPER,LowCountry,1010 Medical Center DR,,29927,843-784-8293,,843-784-7801,Small metro
COASTAL PEDIATRIC ASSOCATES  P.A.,Charleston,SC,CHARLESTON,LowCountry,2051 CHARLIE HALL BLVD,,29414,843-266-4769,,,Medium metro
Coastal Pediatric Associates,Charleston,SC,CHARLESTON,LowCountry,776 DANIEL ELLIS DR,BLDG 2 STE - A,29412,843-795-8100,,,Medium metro
Coastal Pediatric Associates,Summerville,SC,BERKELEY,LowCountry,2015 2nd Ave Ste101,,29406,(843)737-9465,,,Medium metro
COASTAL PEDIATRIC ASSOCIATES PA,Mount Pleasant,SC,CHARLESTON,LowCountry,1952 LONG GROVE DR,STE 202,29464,843-284-4262,,,Medium metro
Coastal Pediatrics,North Charleston,SC,CHARLESTON,LowCountry,9165 University Blvd STE 100N,,29406,(843) 284-0711,,,Medium metro
COASTAL PEDIATRICS,Conway,SC,HORRY,Pee Dee ,8030 MYRTLE TRACE DR,,29526,843-347-4677,,843-347-4678,Medium metro
COASTAL PLAINS PRIMARY CARE,Varnville,SC,HAMPTON,LowCountry,595 W CAROLINA AVE,,29944,(803)943-7612,,(803)943-7677,Non-Core
COLEMAN FAMILY PRACTICE,Pamplico,SC,FLORENCE,Pee Dee ,953 S PAMPLICO HWY,,29583,843-493-5252,,843-493-2372,Small metro
COLLETON COUNTY HEALTH DEPARTMENT,Walterboro,SC,COLLETON,LowCountry,219 S LEMACKS ST,,29488,843-549-1516,,,Non-Core
COLONIAL FAMILY PRACTICE,SUMTER,SC,SUMTER,Pee Dee ,325 BROAD ST,Ste 100,29150,803-773-5227,,803-774-5024,Small metro
COLONIAL FAMILY PRACTICE,SUMTER,SC,SUMTER,Pee Dee ,220 BROAD St,,29150,8037735227,,,Small metro
COLONIAL PEDIATRICS,Sumter,SC,SUMTER,Pee Dee ,742 W LIBERTY ST,,29150,803-773-5227,5006,803-774-1094,Small metro
CONWAY MEDICAL CENTER,Conway,SC,HORRY,Pee Dee ,300 SINGLETON RIDGE RD,,29526,843-347-8120,,(843)234-6870,Medium metro
CONWAY PEDIATRICS,Conway,SC,HORRY,Pee Dee ,907 BELL ST,,29526,843-248-2727,,843-248-5107,Medium metro
COOPER RIVER PEDIATRICS,MOUNT PLEASANT,SC,CHARLESTON,LowCountry,1156 BOWMAN RD,STE 105,29464-0000,843-971-1233,,,Medium metro
CORNERSTONE FAMILY MEDICINE,Greer,SC,GREENVILLE,Upstate,206-A S MAIN ST,,29650,864-989-0230,,,Medium metro
COULTER CLINIC,Orangeburg,SC,ORANGEBURG,LowCountry,941 SUMMERS AVE,,29115,803-534-0437,,(803)531-1464,Micropolitan
CPG Family Medicine ,Aynor,SC,HORRY,Pee Dee ,51 11TH AVE,,29511,843-358-3700,,843-358-3707,Medium metro
CPG FAMILY MEDICINE  TOWNE CENTRE,Myrtle Beach,SC,HORRY,Pee Dee ,5010 Carolina Forest BLVD,,29579,843-236-2700,,843-236-2726,Medium metro
CPG FM&UC@SOCASTEE,MYRTLE BEACH,SC,HORRY,Pee Dee ,4887 SOCASTEE BLVD,,29588,843-293-1005,,843-293-1006,Medium metro
CPG- Pediatrics  Carolina Forest,Myrtle Beach,SC,HORRY,Pee Dee ,4022 C POSTAL WAY,,29579,843-903-4111,,843-903-4242,Medium metro
CPM Complex Health,Greenville,SC,GREENVILLE,Upstate,57 CROSS PARK CT,,29605,864-220-8909,,864-220-7297,Medium metro
DARLINGTON COUNTY HEALTH DEPT D,Darlington,SC,DARLINGTON,Pee Dee ,305 RUSSELL St,,29532,843-398-4400,,843-398-4418,Small metro
DENMARK MEDICAL CENTER  LLC,Denmark,SC,BAMBERG,LowCountry,5616 Carolina HWY,,29042,803-531-6900,,,Non-Core
DILLON COUNTY HEALTH DEPARTMENT,Dillon,SC,DILLON,Pee Dee ,201 W HAMPTON ST,,29536,843-774-5611,,843-841-0835,Non-Core
DILLON FAMILY MEDICINE,Dillon,SC,DILLON,Pee Dee ,603 N 6TH AVE,,29536,843-774-7336,,843-774-7331,Non-Core
DOCTORS FAMILY MEDICINE,Greer,SC,GREENVILLE,Upstate,3115 BRUSHY CREEK RD,#D,29650,864-877-4221,,864-877-1711,Medium metro
