Provider Name,City,State/Territory,County,Region Name,Address 1,Address 2,Zip,Phone,Ext.,Fax,Current Provider Urbanicity
Mary Black Health System Gaffney,Gaffney,SC,CHEROKEE,Upstate,1530 N LIMESTONE ST,,29340,864-487-1657,,864-487-1650,Micropolitan
MARY BLACK MEMORIAL HOSPITAL,Spartanburg,SC,SPARTANBURG,Upstate,1700 Skylyn DR,,29307,864-573-3891,,864-573-3399,Medium metro
Mary Black Phys.Grp.Fm. Internal Med.West,Spartanburg,SC,SPARTANBURG,Upstate,2995 REIDVILLE RD,STE 260,29301,864-574-2866,,864-574-2646,Medium metro
"Mary Black Physicians Group, LLC",Spartanburg,SC,SPARTANBURG,Upstate,1690 Skylyn DR,Ste 300,29307,864-342-4000,,864-596-7409,Medium metro
MCCORMICK CO HLTH DEPT,McCormick,SC,MCCORMICK,Upstate,204 HWY 28 S,,29835,864-852-2511,,,Non-Core
MCCORMICK FAMILY PRACTICE,McCormick,SC,MCCORMICK,Upstate,1319 S Main ST STE A,,29835,864-852-3336,,,Non-Core
MCG Family Practice,UNION,SC,UNION,Upstate,429 E MAIN ST,,29379,864-427-9045,,,Medium metro
MCLEOD FAMILY MED. MARION CO,MULLINS,SC,MARION,Pee Dee ,3032 E HWY 76,,29574-0000,843-464-7111,,843-292-7324,Non-Core
MCLEOD FAMILY MEDICINE CENTER,Florence,SC,FLORENCE,Pee Dee ,144 N Ravenel ST,,29506,843-777-2800,,843-777-5312,Small metro
McLeod Family Medicine- Kingstree,Kingstree,SC,WILLIAMSBURG,Pee Dee ,512 NELSON BLVD,STE 200,29556,8433555459,,843-355-9704,Non-Core
MCLEOD FAMILY MEDICINE-DARLINGTON,Darlington,SC,DARLINGTON,Pee Dee ,701 CASHUA FERRY RD,,29532,843-777-7240,,843-777-7080,Small metro
MCLEOD FAMILY MEDICINE-JOHNSONVILLE,JOHNSONVILLE,SC,FLORENCE,Pee Dee ,355 S GEORGETOWN HWY,,29555,843-380-2000,,843-380-2014,Small metro
MCLEOD FAMILY PRACTICE-TIMMONSVILLE,Timmonsville,SC,FLORENCE,Pee Dee ,755 E SMITH ST,,29161,843-346-3900,,843-346-7839,Small metro
MCLEOD HEALTH,Florence,SC,FLORENCE,Pee Dee ,555 E CHEVES ST,,29506,843-777-4778,,843-777-5491,Small metro
MCLEOD MEDICAL CTR  DILLON,Dillon,SC,DILLON,Pee Dee ,301 E JACKSON ST,,29536,843-487-1660,,843-487-1393,Non-Core
MCLEOD PEDIATRIC SUBSPECIALIST,FLORENCE,SC,FLORENCE,Pee Dee ,901 E CHEVES ST,Ste 420,29506,8437777313,,,Small metro
MCLEOD PEDIATRICS - DILLON,Dillon,SC,DILLON,Pee Dee ,705 N 8TH AVE,Ste 3A,29536,843-774-6091,,843-841-3814,Non-Core
McLeod Pediatrics Bennettsville,Bennettsville,SC,MARLBORO,Pee Dee ,1076 MARLBORO WAY,STE 3,29512,843-479-0432,,843-479-3036,Micropolitan
McLeod Pediatrics Clarendon,Manning,SC,CLARENDON,Pee Dee ,50 E Hospital ST STE 4B,,29102,803-433-8420,,803-433-8417,Non-Core
McLeod Pediatrics- Cheraw,Cheraw,SC,CHESTERFIELD,Pee Dee ,723 S DOCTORS DR,,29520,843-537-9360,,843-537-9710,Non-Core
McLeod Physician Associates,LITTLE RIVER,SC,HORRY,Pee Dee ,3980 HWY 9 E,Ste 100-A,29566,843-390-8320,,843-3908329,Medium metro
Mcleod Primary Care Associates,Florence,SC,FLORENCE,Pee Dee ,"800 E Cheves ST , STE 200",,29506,843-662-1502,,843- 777-7383,Small metro
McLeod Primary Care Clarendon ,Manning,SC,CLARENDON,Pee Dee ,50 E Hospital Street,,29102,803-435-8828,,803-435-2239,Non-Core
MEDICAL BLDG PA HEMINGWAY,Hemingway,SC,WILLIAMSBURG,Pee Dee ,456 N MAIN ST,,29554,843-558-9319,,843-558-9818,Non-Core
MEDICAL CTR OF SANTEE,Santee,SC,ORANGEBURG,LowCountry,500 BASS DR,,29142,803-854-3805,,(803)854-3810,Micropolitan
Medical Group of the Carolinas Family Medicine Union Westside ,Union,SC,UNION,Upstate,322 W South ST,,29379,8644298029,,864-429-3515,Medium metro
MEDICAL PLAZA FAMILY MEDICINE,Florence,SC,FLORENCE,Pee Dee ,800 E CHEVES ST,STE 310,29506,843-292-0775,,843-317-4954,Small metro
MEDICAL UNIVERISTY OF SOUTH CAROLIN,Charleston,SC,CHARLESTON,LowCountry,169 ASHLEY AVE,RM CH620,29425,843-792-1363,,,Medium metro
Medical University Hospital Authority,Charleston,SC,CHARLESTON,LowCountry,"67 President St, RM 448N",,29425,843-792-5952,,8437925954,Medium metro
MGC Family Medicine and Pediatrics North,Inman,SC,SPARTANBURG,Upstate,575 Ingles DR,,29349,(864)342-4090,,,Medium metro
MGC FAMILY PHYS. OF BOILING SPRINGS,Boiling Springs,SC,SPARTANBURG,Upstate,3981 Highway 9,,29316,864-560-3650,,864-360-3675,Medium metro
MGC Pediatrics- North Grove,Spartanburg,SC,SPARTANBURG,Upstate,1330 BOILING SPRINGS RD,STE 1300,29303,(864)560-6345,,(864)278-1260,Medium metro
MGC Pediatrics- Union,Union,SC,UNION,Upstate,407 W South ST,,29379,864-429-8846,,864-429-9093,Medium metro
MIDLANDS PEDIATRICS  P.A.,COLUMBIA,SC,RICHLAND,Midlands ,2712 MIDDLEBURG DR,STE 101,29204-2415,8032544258,,,Medium metro
MILESTONES PEDIATRICS,Columbia,SC,RICHLAND,Midlands ,120 WILDEWOOD PARK DR,STE B,29223,803-788-7882,,(803)788-1828,Medium metro
MJ FLOOD MD LLC,Union,SC,UNION,Upstate,801  West Main Street ,,29379,8644410009,,8644322246,Medium metro
MONCKS CORNER HEALTH DEPT,Moncks Corner,SC,BERKELEY,LowCountry,109 W MAIN ST,,29461,843-719-4600,,,Medium metro
MONCKS CORNER PEDIATRICS LLC,Moncks Corner,SC,BERKELEY,LowCountry,5000-B EPSON PLANTATION DR,,29461,843-761-2000,,,Medium metro
Moncks Corner Primary Care,Moncks Corner,SC,BERKELEY,LowCountry,"730 Stoney Landing RD , STE 100",,29461,843-761-6556,,,Medium metro
MONTGOMERY CENTER OF FAMILY MEDICINE,Greenwood,SC,GREENWOOD,Upstate,155 ACADEMY AVE,,29646,864-725-4865,,(864)725-4725,Micropolitan
MORPHIS PEDIATRIC GROUP-LANCASTER,Lancaster,SC,LANCASTER,Midlands ,112-C WOODLAND DR,,29720,803-416-5295,,803-416-5240,Large fringe metro
MORPHIS PEDIATRICS,Hartsville,SC,DARLINGTON,Pee Dee ,708 MEDICAL PARK DR,,29550,843-332-5121,,843-332-0993,Small metro
MOUNT PLEASANT HOSPITAL,Mount Pleasant,SC,CHARLESTON,LowCountry,3500 HIGHWAY 17 N,,29466,843-606-7593,,,Medium metro
"Mount Pleasant Pediatrics, P.A.",Mount Pleasant,SC,CHARLESTON,LowCountry,1041 J. Dodds BLVD unit 5-a,,29464,843-881-0007,,,Medium metro
MT. PLEASANT HEALTH DEPARTMENT,Mount Pleasant,SC,CHARLESTON,LowCountry,1189 Sweetgrass Basket Pkwy 100,,29466,843-856-1210,,,Medium metro
MUSC AFTER HOURS CARE,North Charleston,SC,CHARLESTON,LowCountry,2250 MALL DR,,29406,843-985-0202,,843-985-0203,Medium metro
MUSC After Hours Care Mt. Pleasant,Mount Pleasant,SC,CHARLESTON,LowCountry,2705 Highway 17 N,Ste 100,29406,843-876-2227,,,Medium metro
MUSC After Hours Care Summerville,Summerville,SC,DORCHESTER,LowCountry,4330 Ladson RD,,29485,843-876-8950,,843-876-8951,Medium metro
MUSC Childrens Health Pediatrics Chester,Chester,SC,CHESTER,Midlands ,1 MEDICAL PK DR-BLDG 3,STE A,29706,803-581-2400,,803-581-2401,Large fringe metro
MUSC Childrens Health University Pediatrics-Henry Lemon,North Charleston,SC,CHARLESTON,LowCountry,2070 NORTHBROOK BLVD A-16,,29406,843-876-2511,,843-876-2526,Medium metro
MUSC Childrens Health- Peds-Marion Medical Park,Mullins,SC,MARION,Pee Dee ,2845 E Highway 76,Ste 4,29574,843-431-2720,,843-431-2984,Non-Core
MUSC FAMILY MEDICINE,Charleston,SC,CHARLESTON,LowCountry,650 ELLIS OAK DR,,29412,843-876-2961,,,Medium metro
MUSC Family Medicine Ben Sawyer,Mount Pleasant,SC,CHARLESTON,LowCountry,1440 Ben Sawyer Blvd Ste 1109,,29464,843-876-7100,,,Medium metro
MUSC Family Medicine Center -Rutledge Tower,Charleston,SC,CHARLESTON,LowCountry,30 Bee St STE 210,,29425,843-876-0088,,843-876-2818,Medium metro
MUSC Health Dantzler Clinic,Charleston,SC,CHARLESTON,LowCountry,2750 Dantzler DR,,29406,(843)876-0094,,(843)985-9561,Medium metro
MUSC Health Lancaster Medical Center,Lancaster,SC,LANCASTER,Midlands ,800 W MEETING ST,,29720,803-286-1477,,803-286-1373,Large fringe metro
MUSC Health PEE DEE PEDIATRICS Marion,Mullins,SC,MARION,Pee Dee ,2845 E HWY 76,Ste 5,29574,843-431-2650,,843-431-2982,Non-Core
MUSC Health Primary Care - Mercy Street,Lake City,SC,FLORENCE,Pee Dee ,334 MERCY ST,,29560,843-374-9355,,843-374-7953,Small metro
MUSC Health Primary Care - Sauls Street,Lake City,SC,FLORENCE,Pee Dee ,148 Sauls St ,,29560,843-374-3621,,843-374-3624,Small metro
MUSC Health Primary Care Elgin,Elgin,SC,KERSHAW,Midlands ,2689 HWY 1 S,,29045,803-438-7698,,803-438-7563,Medium metro
MUSC Health Primary Care Great Falls,Great Falls,SC,CHESTER,Midlands ,308 CHESTER AVE,,29055,8034822129,,,Large fringe metro
MUSC Health West,Charleston,SC,CHARLESTON,LowCountry,2060 Sam Rittenberg BLVD,,29407,843-876-1196,,843-985-0451,Medium metro
MUSC Lowrys Primary Care,Chester,SC,CHESTER,Midlands ,517 Doctors CT,,29706,803-581-2800,,803-581-7259,Large fringe metro
MUSC Primary Care Lugoff,Lugoff,SC,KERSHAW,Midlands ,710 DEWITT DR,,29078,803-438-1806,,803-438-4371,Medium metro
MUSC-CHILDRENS CARE-MONCKS CORNER,Moncks Corner,SC,BERKELEY,LowCountry,109 W MAIN ST,,29461,843-719-4774,,,Medium metro
MUSC-PEDIATRIC PRIMARY CARE,Charleston,SC,CHARLESTON,LowCountry,135 RUTLEDGE AVE 3RD FL RUTLEDGE TOWER,,29425,843-876-0511,,,Medium metro
MYRTLE BEACH HEALTH DEPT.,Myrtle Beach,SC,HORRY,Pee Dee ,700 21ST AVE N,,29577,8434488407,,843-448-7499,Medium metro
N CENTRAL FAM MED-PEDIATRIC CTR,Rock Hill,SC,YORK,Midlands ,1140 Saluda ST,,29732,803-325-8742,,(803)327-7464,Large fringe metro
Neighbors Pediatrics ,Charleston,SC,BERKELEY,LowCountry,1818 Remount RD,,29406,(843)766-6308,,(866)533-4473,Medium metro
NEW HOPE CAROLINAS,Rock Hill,SC,YORK,Midlands ,101 SEDGEWOOD DR,,29732,803-328-9300,,803-327-2179,Large fringe metro
NEW HORIZON FAM HLTH SVCS INC-GREER,Greer,SC,GREENVILLE,Upstate,111- A BERRY AVE,,29651,864-801-2035,,864-416-0274,Medium metro
"New Horizon Family Health Services, Inc.- Faris Road",Greenville,SC,GREENVILLE,Upstate,975 W Faris RD,,29605,864-729-8330,,864-729-8330,Medium metro
NEW HORIZON FAMILY HEALTH SVCS.INC.,Greenville,SC,GREENVILLE,Upstate,130 MALLARD ST,,29601,864-233-1534,,864-770-1859,Medium metro
NEW HORIZON FAMILY HLTH SVCS INC,Travelers Rest,SC,GREENVILLE,Upstate,1588 GEER HWY,,29690,864-836-1109,,864-836-6365,Medium metro
NEWBERRY COUNTY HEALTH DEPARTMENT,Newberry,SC,NEWBERRY,Midlands ,2111 WILSON RD,,29108,803-321-2170,,(803)321-2300,Micropolitan
NORFIELD MEDICAL CENTER,Neeses,SC,ORANGEBURG,LowCountry,7061 NORWAY RD,,29107,803-263-4086,,(803)263-4097,Micropolitan
NORTH AREA CLINIC,Charleston Heights,SC,CHARLESTON,LowCountry,3963 WHIPPER BARONY LN,,29405,843-740-1580,,,Medium metro
NORTH AUGUSTA PEDIATRICS LLC,North Augusta,SC,EDGEFIELD,Midlands ,140 Allen CT,,29860,803-510-0007,,,Medium metro
NORTH BERKELEY FAMILY CARE,Saint Stephen,SC,BERKELEY,LowCountry,137 CEDAR ST,,29479,843-567-4000,,843-567-3000,Medium metro
NORTH CENTRAL FAM MEDICAL CENTER,Chester,SC,CHESTER,Midlands ,102 CESTRIAN SQUARE,,29706,8033258742,,803-327-7464,Large fringe metro
NORTH CENTRAL FAMILY MEDICAL CTR,Rock Hill,SC,YORK,Midlands ,1131 SALUDA ST,,29730,8033257744,,(803)325-1117,Large fringe metro
NORTH GREENVILLE OUT PT PED CLINIC,Travelers Rest,SC,GREENVILLE,Upstate,807 N MAIN ST,,29690,864-455-9260,,864-455-9264,Medium metro
NORTH HILLS MEDICAL CENTER,Greer,SC,GREENVILLE,Upstate,319 S BUNCOMBE RD,,29651,864-877-3883,,864-877-7937,Medium metro
NORTH HILLS MEDICAL CENTER,Mauldin,SC,GREENVILLE,Upstate,309 W BUTLER RD,,29662,864-297-1575,,,Medium metro
Northlake Family Medical Practice,COLUMBIA,SC,RICHLAND,Midlands ,115 Blarney DR #101-C,,29223-,803-419-5131,,8038657109,Medium metro
Oakbrook Pediatrics,Summerville,SC,DORCHESTER,LowCountry,202 Bentons Lodge RD,,29485,843-871-2588,,843-871-1664,Medium metro
OB GYN CLINIC,Greenville,SC,GREENVILLE,Upstate,1120 Grove Rd Ste B,,29605,864-455-8897,,864-455-6598,Medium metro
OCONEE COUNTY HEALTH DEPT S,Seneca,SC,OCONEE,Upstate,609 N TOWNVILLE ST,,29678,864-882-2245,,,Micropolitan
OCONEE MEDICAL CENTER,Seneca,SC,OCONEE,Upstate,298 MEMORIAL DR,,29672,8648857241,,(864)885-7990,Micropolitan
OCONEE PEDIATRICS,Seneca,SC,OCONEE,Upstate,15579 WELLS HWY,,29678,864-882-7800,,(864)882-5908,Micropolitan
ORANGEBURG COUNTY HEALTH DEPARTMENT,Orangeburg,SC,ORANGEBURG,LowCountry,1550 CAROLINA AVE,,29115,803-533-5480,,(803)268-5814,Micropolitan
PACOLET FAMILY MEDICINE,Pacolet,SC,SPARTANBURG,Upstate,7221 S PINE ST,,29372,864-474-1528,,(864)474-1049,Medium metro
PAGELAND FAMILY MEDICINE,Pageland,SC,CHESTERFIELD,Pee Dee ,301 N VAN LINGLE MUNGO BLVD,,29728,843-672-3151,,843-672-5448,Non-Core
PALMETTO FAMILY MED OF CHESTERFIELD,Cheraw,SC,CHESTERFIELD,Pee Dee ,316 2ND ST,,29520,843-921-4851,,843-921-4854,Non-Core
Palmetto Health Richland,Columbia,SC,RICHLAND,Midlands ,5 Richland Medical Park DR,,29203,803-434-2569,,(803)434-3030,Medium metro
PALMETTO HEALTH RICHLAND FAM MED CT,Columbia,SC,RICHLAND,Midlands ,3209 COLONIAL DR,,29203,803-434-6113,,(803)434-6562,Medium metro
PALMETTO HEALTH SPECIAL CARE CENTER,Columbia,SC,RICHLAND,Midlands ,14 MEDICAL PARK,Ste 310,29203,803-434-2300,,(803)434-8600,Medium metro
Palmetto Health USC Family Medicine,Sumter,SC,SUMTER,Pee Dee ,738 W LIBERTY ST,STE A,29150,803-775-6374,,803-773-6429,Small metro
PALMETTO PED  ADOLES CLINIC,Irmo,SC,RICHLAND,Midlands ,7428 BROAD RIVER RD,,29063,803-732-0140,,(803)732-4848,Medium metro
PALMETTO PED  ADOLES CLINIC,Lexington,SC,LEXINGTON,Midlands ,1970 AUGUSTA HWY,,29072,8033582370,,,Medium metro
PALMETTO PEDIATRIC  ADOLESCENT CLINIC,Columbia,SC,RICHLAND,Midlands ,601 CLEMSON RD,,29229,803-788-4886,,803-788-5020,Medium metro
PALMETTO PEDIATRICS,Columbia,SC,RICHLAND,Midlands ,121 Blythewood Rd,,29016,803-788-6360,,(803)788-6668,Medium metro
PALMETTO PEDIATRICS,Columbia,SC,RICHLAND,Midlands ,140 PARK CENTRAL DR,,29203,803-779-4001,,(803)252-9458,Medium metro
PALMETTO PEDIATRICS,ROCK HILL,SC,YORK,Midlands ,2450 INDIA HOOK RD,,29732-4973,8033275772,,,Large fringe metro
PALMETTO PEDIATRICS,Hilton Head Island,SC,BEAUFORT,LowCountry,23 MAIN ST,STE 301,29926,843-342-5437,,,Small metro
PALMETTO PEDIATRICS  CONWAY,Conway,SC,HORRY,Pee Dee ,140 PROFESSIONAL PARK DR,,29526,843-234-5678,,(843)234-4567,Medium metro
PALMETTO PEDIATRICS  PA,North Charleston,SC,CHARLESTON,LowCountry,2781 TRICOM ST,,29406,843-797-5600,,,Medium metro
PALMETTO PEDIATRICS CENTER,Aiken,SC,AIKEN,Midlands ,60 Physician DR STE 100,,29801,803-641-5437,,803-641-9981,Medium metro
PALMETTO PEDS - WEST,Spartanburg,SC,SPARTANBURG,Upstate,8311 WARREN H ABERNATHY HWY,,29301,864-560-9600,,864-560-9613,Medium metro
PALMETTO PEDS OF THE LOWCTRY  LLC,Okatie,SC,BEAUFORT,LowCountry,4 OKATIE CTR BLVD S,STE 201,29909,843-706-3206,,,Small metro
Palmetto Primary Care,North Charleston,SC,CHARLESTON,LowCountry,9313 Medical Plaza DR,,29406,843-725-3525,,,Medium metro
PALMETTO PRIMARY CARE  DR. SAMUEL S,Saint Stephen,SC,BERKELEY,LowCountry,104 FUNK AVE,,29479,843-567-3206,,,Medium metro
PALMETTO PRIMARY CARE PHY. - LAUREL,Summerville,SC,DORCHESTER,LowCountry,507 N LAUREL ST,,29483,843-875-0600,,,Medium metro
PALMETTO PRIMARY CARE PHYS,Bonneau,SC,BERKELEY,LowCountry,1401 MAIN ST,,29431,843-825-3404,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,Summerville,SC,DORCHESTER,LowCountry,1101 Old Trolley RD,,29485,843-832-2021,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,North Charleston,SC,CHARLESTON,LowCountry,9313 MEDICAL PLAZA DR,Ste 202,29406,843-572-1200,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,Summerville,SC,DORCHESTER,LowCountry,809 N CEDAR ST,,29483,843-871-9440,,843-871-5932,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,Summerville,SC,DORCHESTER,LowCountry,213 W 4TH N ST,,29483,843-873-0681,,843-873-0681,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,SUMMERVILLE,SC,DORCHESTER,LowCountry,412 N GUM ST,,29483,843-873-1720,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,Moncks Corner,SC,BERKELEY,LowCountry,115 EXECUTIVE PKWY,,29461,843-761-2815,,(843)899-4723,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,North Charleston,SC,CHARLESTON,LowCountry,5325 APPIAN WAY,,29420,8435520400,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,GOOSE CREEK,SC,BERKELEY,LowCountry,7 S ALLIANCE DR,Ste 201 A,29445,843-553-4383,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,GOOSE CREEK,SC,BERKELEY,LowCountry,105 SPRING HALL DR,,29445,843-574-0060,,,Medium metro
PALMETTO PRIMARY CARE PHYSICIANS,HAMPTON,SC,HAMPTON,LowCountry,300 MAPLE ST WEST,,29924,803-943-3813,,(803)943-5971,Non-Core
PALMETTO PRIMARY CARE PHYSICIANS,WALTERBORO,SC,COLLETON,LowCountry,457 SPRUCE ST,,29488,843-782-4100,,,Non-Core
Palmetto Primary Care Physicians Oakbrook,Summerville,SC,BERKELEY,LowCountry,90 Springview LN,,29485,843-832-9113,,(843)832-9114,Medium metro
"Palmetto Primary Care, North Charleston",North Charleston,SC,CHARLESTON,LowCountry,2550 Elms Center Rd.,,29406,843-302-8828,,843-569-5882,Medium metro
PARKSIDE PEDIATRICS,Piedmont,SC,ANDERSON,Upstate,30 HALTER DR,,29673,8642720388,,,Medium metro
Parkside Pediatrics,Simpsonville,SC,GREENVILLE,Upstate,312 Harrison Bridge RD,,29680,864-272-0388,,864-213-9237,Medium metro
PARKSIDE PEDIATRICS,Greenville,SC,GREENVILLE,Upstate,"525 Verdae Blvd, STE 200",,29607,864-272-0388,,864-213-9237,Medium metro
PARKSIDE PEDIATRICS,Spartanburg,SC,SPARTANBURG,Upstate,2430 Reidville Rd # 102,,29301,8642720388,,8642139237,Medium metro
PARKSIDE PEDIATRICS,Simpsonville,SC,GREENVILLE,Upstate,211 BATESVILLE RD,,29681,864-272-0388,,864-213-9237,Medium metro
Parkside Pediatrics Greer ,Greer,SC,GREENVILLE,Upstate,145 E Poinsett St,,29651,(864)272-0388,,(864)213-9237,Medium metro
PARKWEST PEDIATRICS LLC,MOUNT PLEASANT,SC,CHARLESTON,LowCountry,3400 SALTERBECK ST,STE 101,29466,8432160201,,,Medium metro
Parkwood Pediatric Group,Charleston,SC,CHARLESTON,LowCountry,1243 Savannah Hwy.,,29407,843-556-8110,,,Medium metro
PARKWOOD PEDS AT DANIEL ISLAND,Daniel Island,SC,CHARLESTON,LowCountry,109 RIVER LANDING DR,Ste 101,29492,843-856-5074,,,Medium metro
PEACH TREE MEDICAL CENTER,RIDGE SPRING,SC,SALUDA,Midlands ,906 W MAIN ST,,29129-0000,803-685-7355,,,Medium metro
PEDIATIC ASSOCIATES-GREER,Greer,SC,GREENVILLE,Upstate,106 Physicians DR,,29650,864-797-9100,,864-797-9105,Medium metro
Pediatric Associates  P.A.,Columbia,SC,RICHLAND,Midlands ,2601 Laurel St. Suite 250,,29204,803-799-9044,,(803) 256-8119,Medium metro
PEDIATRIC ASSOCIATES - KERSHAW CTY.,Elgin,SC,KERSHAW,Midlands ,40 PINNACLE PKWY,STE 206,29045,803-432-1931,,803-438-4020,Medium metro
PEDIATRIC ASSOCIATES -KERSHAW CTY,Camden,SC,KERSHAW,Midlands ,1346 HAILE ST,,29020,803-432-1931,,803-432-1176,Medium metro
Pediatric Associates Easley,Easley,SC,PICKENS,Upstate,800 N A ST,,29640,864-855-0001,,864-855-5030,Medium metro
Pediatric Associates of Florence,Florence,SC,FLORENCE,Pee Dee ,204 E Cheves Street,,29506,843-777-5065,,843-777-7620,Small metro
PEDIATRIC ASSOCIATES OF FLORENCE,Florence,SC,FLORENCE,Pee Dee ,3013B W Palmetto St,,29501,843-777-9340,,843-777-9341,Small metro
PEDIATRIC ASSOCIATES OF FLORENCE,Florence,SC,FLORENCE,Pee Dee ,3013-A W PALMETTO ST,,29501,843-777-7627,,843-777-7630,Small metro
Pediatric Associates Simpsonville,Simpsonville,SC,GREENVILLE,Upstate,1409 W GEORGIA RD,STE A,29680,864-454-5062,,864-454-6065,Medium metro
Pediatric Associates Spartanburg,Spartanburg,SC,SPARTANBURG,Upstate,249 North Grove Medical Park Dr Ste 100,,29303,(864)582-8135,,(864)573-9757,Medium metro
PEDIATRIC ASSOCIATES-POWDERSVILLE,Greenville,SC,GREENVILLE,Upstate,207 THREE BRIDGES RD,,29611,864-220-1110,,864-855-5030,Medium metro
PEDIATRIC CENTER,Greer,SC,GREENVILLE,Upstate,111 MEMORIAL DR,,29650,864-848-7005,,864-848-3666,Medium metro
PEDIATRIC INFECTIOUS DISEASE,Greenville,SC,GREENVILLE,Upstate,200 PATEWOOD DR,Ste A 200,29615,864-454-5130,,864-454-5698,Medium metro
Pediatric Specialties of the Upstate-Anderson,Anderson,SC,ANDERSON,Upstate,"2000 E Greenville ST , STE 3500",,29621,(864)716-6490,,(864)716-6492,Medium metro
Pediatric Specialties Spartanburg,Spartanburg,SC,SPARTANBURG,Upstate,249 N Grove Medical Park DR,Ste 200,29303,864-573-8732,,(864)598-0421,Medium metro
PEDIATRICS OF BATESBURG-LEESVILLE,Batesburg,SC,LEXINGTON,Midlands ,120 W CHURCH ST,STE E,29006,803-532-2208,,803.604.0207,Medium metro
PEDIATRICS OF NEWBERRY,Newberry,SC,NEWBERRY,Midlands ,2525 KINARD ST,,29108,803-405-0220,,(803)405-0222,Micropolitan
PEE DEE FAMILY PRACTICE,Lake City,SC,FLORENCE,Pee Dee ,276 N Ron McNair BLVD,,29560,843-394-5471,,843-394-5459,Small metro
PEE DEE FAMILY PRACTICE,Johnsonville,SC,FLORENCE,Pee Dee ,625 S GEORGETOWN HWY,,29555,843-386-3106,,843-386-3791,Small metro
PELICAN PEDIATRICS ,Charleston,SC,CHARLESTON,LowCountry,452 FOLLY RD,STE 5,29412,8437953344,,,Medium metro
PELION FAMILY PRACTICE,Pelion,SC,LEXINGTON,Midlands ,8063 EDMUND HWY,,29123,803-894-3736,,,Medium metro
PICKENS COUNTY HEALTH DEPARTMENT,Pickens,SC,PICKENS,Upstate,200 MCDANIEL AVE,,29671,864-898-5965,,(864)898-5823,Medium metro
PIEDMONT CHILDRENS CLINIC  P.A.,Anderson,SC,ANDERSON,Upstate,2000 E GREENVILLE ST,STE 4700,29621,864-222-1891,,,Medium metro
PIEDMONT FAMILY PRACTICE  INC.,PIEDMONT,SC,ANDERSON,Upstate,115 BEATTIE PK RD,,29673,8648453331,,,Medium metro
PIEDMONT HEALTH GROUP  L.L.C.,Hodges,SC,GREENWOOD,Upstate,3410 COKESBURY RD,,29653,864-227-2099,,(864)227-1779,Micropolitan
PIEDMONT PEDIATRICS,Clinton,SC,LAURENS,Upstate,996 MEDICAL RIDGE RD,,29325,864-833-5654,,864-833-2786,Medium metro
Pinner Clinic  PA,Peak,SC,NEWBERRY,Midlands ,32 River St,,29122,803-345-3298,,(803)345-2832,Micropolitan
PLANNED PARENTHOOD HEALTH SYSTEMS,CHARLESTON,SC,CHARLESTON,LowCountry,200 RUTLEDGE AVE,,29403,8436284380,,,Medium metro
PLANNED PARENTHOOD HLTH SYSTEMS,COLUMBIA,SC,RICHLAND,Midlands ,2712 MIDDLEBURG DR,STE 107,29204,803-256-4908,,803-256-4900,Medium metro
